"","TeDTeD1","TeDTeD2","TeDTeD3","TeDTeD4","TeDTeD5","TeDTeD6","TeDTeD7","TrD1","TrD2","TrD3","TrD4","TrD5","TrD6","TrD7","TrD8","modelB1","modelB2","modelB3","modelM1","modelM2","modelM3","modelMF","modelMN","modelMS","score","TransferLearning","StandardLearning","Classification","Reccomandation","Regression"
"62",1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.889953905669561,1,0,1,0,0
"63",1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0.736556809540744,1,0,1,0,0
"64",1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.899923889626503,1,0,1,0,0
"65",1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.892891887286372,1,0,1,0,0
"66",1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0.750457197148074,1,0,1,0,0
"67",1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0.905876022266263,1,0,1,0,0
"68",1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.895238601445092,1,0,1,0,0
"69",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.707055111925482,1,0,1,0,0
"70",1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0.739576212300782,1,0,1,0,0
"71",1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.902070606435595,1,0,1,0,0
"72",1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0.896666812961024,1,0,1,0,0
"73",1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0.89908919626151,1,0,1,0,0
"74",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.738349572007027,1,0,1,0,0
